"","code","number","title","units","time","description","effective","GE"
"303","ANB","294","Seminar in Behavioral Ecology of Predators and Prey ","3"," Seminar—2 hours","Prerequisite(s): Graduate standing. Presentation and analysis of research papers on social and foraging behavior of predatory animals, antipredator strategies of prey species, co-evolution of predators and prey, and ecology of predator prey interactions. May be repeated up to 2 time(s). (WFC 294.) "," 2003 Winter Quarter.",NA
"304","ANB","298","Group Study ","1-5"," Discussion—1-5 hours; Laboratory—5-15 hours","Prerequisite(s): Consent of Instructor. Graduate standing. Lectures and/or discussion of current issues, problems, or techniques in animal behavior. "," 1997 Winter Quarter.",NA
"305","ANB","299","Research ","1-12"," Laboratory—3-36 hours","Advanced research in one of the specialty areas in animal behavior (S/U grading only.) "," 1997 Winter Quarter.",NA
"306","ANB","396","Teaching Assistant Training Practicum ","1-4"," Variable","May be repeated for credit. (P/NP grading only.) "," 1997 Winter Quarter.",NA
"307","ANE","192","Internship in Anesthesiology ","1-6"," Internship—3-18 hours; Project (Term Project)","Prerequisite(s): Upper division standing; approval of project prior to period of internship by preceptor. Supervised work experience in anesthesia and related fields. (P/F grading only.) "," 1997 Winter Quarter.",NA
"308","ANE","199","Special Study for Advanced Undergraduates ","1-5"," Variable—3-15 hours","May be repeated for credit. (P/NP grading only.) "," 2007 Fall Quarter.",NA
"309","ANE","435","Primary Care Multidisciplinary Pain Management ","3"," Clinical Activity","Rotation will give 3rd year primary-care bound students an overview of the scope of Pain Medicine. May be repeated for credit. (H/P/F grading only.) "," 2016 Fall Quarter.",NA
"310","ANE","455","Externship in Anesthesiology ","3-6"," Clinical Activity","Prerequisite(s): Consent of Instructor. Away clinical rotation in Anesthesiology or Pain Medicine. (H/P/F grading only.) "," 2017 Summer Quarter.",NA
"311","ANE","460","Anesthesiology Clinical Clerkship ","3-18"," Discussion—2 hours; Practice—10 hours; Variable—30 hours","Prerequisite(s): Consent of Instructor. Medical student. In-depth exposure to anesthesia through informal lectures and mentoring by anesthesiologists. Emphasis on understanding and applying anesthetic principles in managing administration of general, regional, and specialized areas. (H/P/F grading only.) "," 1997 Spring Quarter.",NA
"312","ANE","461","Perioperative Medicine ","3-12"," Clinical Activity—30 hours","Prerequisite(s): Successful completion of third-year clerkships; consent of IOR. Two week rotation provides a broad exposure to various patient care services within the Department of Anesthesiology and Pain Medicine to apply medical knowledge to safely care for patients. (H/P/F grading only.) "," 2011 Spring Quarter.",NA
"313","ANE","462","Perioperative Management of the Obstetric Patient ","3-6"," Variable—2 hours","Prerequisite(s): Consent of Instructor. Perioperative Management of Obstetric Patient advanced clinical clerkship will offer the medical student the chance to understand and be able to apply the principles of basic science into major improvements in obstetric anesthesia patient care. May be repeated for credit. (H/P/F grading only.) "," 2018 Spring Quarter.",NA
"314","ANE","463","Multidisciplinary Pain Management ","6"," Clinical Activity—30 hours; Lecture/Discussion—10 hours","Prerequisite(s): Senior medical student in good standing. Senior clerkship to expose students to all facets of treating pain in all aspects of clinical care: outpatient and inpatient settings, acute and chronic pain, end of life issues, pediatrics, rehabilitation, etc. Daily clinics, rounds, and lectures. (H/P/F grading only.) "," 1999",NA
"315","ANE","464","Multidisciplinary Approach to the Neurosurgical Patient ","3-9"," Clinical Activity—40 hours","Prerequisite(s): Consent of Instructor. Participate in the perioperative care of patients undergoing neurosurgical procedures while under the supervision of anesthesia, neurology and neurosurgical ICU residents and attending physicians. May be repeated for credit. (H/P/F grading only.) "," 2017 Winter Quarter.",NA
"316","ANE","465","Away Acting Internship in Anesthesiology ","3-18"," Clinical Activity—40 hours; Variable—3-18 hours","Prerequisite(s): Consent of Instructor. Satisfactory completion of Anesthesiology Clerkship. Work at the level of a sub intern in Inpatient and/or Outpatient settings. Expectation is to provide direct patient management. May be repeated for credit. (H/P/F grading only.) "," 2010 Summer Quarter.",NA
"317","ANE","480","Brief Introduction to Clinical Anesthesiology and Chronic Pain Management ","3"," Clinical Activity—30 hours","Prerequisite(s): Second-year medical student. Daily experience in clinical anesthesiology at the preoperative screening unit, operating room, post anesthesia care unit, chronic pain management clinic with daily clinical correlation case discussions, and one-onone interaction with faculty anesthesiologists. (H/P/F grading only.) "," 1997 Spring Quarter.",NA
"318","ANE","493A","Applied Physiology and Pharmacology ","6"," Clinical Activity—4 hours; Laboratory—16 hours; Lecture—5 hours; Lecture/Lab—10 hours","Prerequisite(s): Consent of Instructor. UC Davis School of Medicine students only. Review and demonstrate the application of basic physiology and pharmacology to patient care. There will be an in-depth analysis of the physiology and pharmacology of the cardiovascular, pulmonary, nervous, renal and endocrine systems. (H/P/F grading only.) "," 2007 Winter Quarter.",NA
"319","ANE","493B","Interdisciplinary Medicine in Pain Care ","6"," Clinical Activity—4 hours; Laboratory—16 hours; Lecture—5 hours; Lecture/Lab—10 hours","Prerequisite(s): Consent of Instructor. UC Davis School of Medicine students only. Integrate applied and practical neuroanatomy, physiology, pharmacology, psychology/psychiatry and social medicine in the care of patients who are receiving care for pain caused by acute or chronic medical disease or trauma. (H/P/F grading only.) "," 2007 Spring Quarter.",NA
"320","ANE","498","Individual or Group Study ","1-5"," Discussion—1-5 hours; Laboratory—2-10 hours","Prerequisite(s): Interns and residents with consent of instructor. Directed reading and discussion and/or laboratory investigation on selected topics. (H/P/F grading only.) "," 1997 Winter Quarter.",NA
"321","ANE","499","Anesthesiology Research ","1-18"," Laboratory—12-54 hours","Prerequisite(s): Third- or fourth-year medical students, advanced standing undergraduate and veterinary medicine students; or consent of instructor. Problems in clinical and/or laboratory research. May be repeated for credit. (H/P/F grading only.) ","",NA
"322","ANG","101","Animal Cytogenetics ","3"," Discussion/Laboratory—1 hour; Laboratory—6 hours","Prerequisite(s): BIS 101; BIS 102; Or equivalent of BIS 102. Principles and techniques of cytogenetics applied to animal systems; chromosome harvest techniques, analysis of mitosis and meiosis, karyotyping, chromosome banding, cytogenetic mapping, chromosome structure and function, comparative cytogenetics. "," 2003 Spring Quarter."," SE. "
"323","ANG","105","Horse Genetics ","2"," Lecture—2 hours","Prerequisite(s): ANS 015; BIS 101 Coat color, parentage testing, medical genetics, pedigrees, breeds, the gene map and genus Equus. Emphasis on understanding horse genetics based on the unity of mammalian genetics and making breeding decisions based on fundamental genetic concepts. "," 2017 Winter Quarter."," SE, SL. "
"324","ANG","107","Genetics and Animal Breeding ","5"," Laboratory—3 hours; Lecture—4 hours","Prerequisite(s): BIS 101 Principles of quantitative genetics applied to improvement of livestock and poultry. Effects of mating systems and selection methods are emphasized with illustration from current breeding practices. "," 1997"," SE. "
"325","ANG","111","Molecular Biology Laboratory Techniques ","4"," Laboratory—6 hours; Lecture—2 hours","Prerequisite(s): BIS 002C; BIS 101; (BIS 102 or ABI 102); (BIS 103 or ABI 103) Introduction to the concepts and techniques used in molecular biology; the role of this technology in both basic and applied animal research, and participation in laboratories using some of the most common techniques in molecular biology. "," 2017 Winter Quarter."," SE, SL, VL, WE. "
"326","ANG","198","Directed Group Study ","1-5"," Variable","Prerequisite(s): Consent of Instructor. Selected topics relating to animal genetics. (P/NP grading only.) "," 1997 Winter Quarter.",NA
"327","ANG","199","Special Study for Advanced Undergraduates ","1-5"," Independent Study","Prerequisite(s): Consent of Instructor. (P/NP grading only.) "," 1997",NA
"328","ANG","204","Theory of Quantitative Genetics ","3"," Lecture—3 hours","Prerequisite(s): ANG 107; Or the equivalent. Theoretical basis of quantitative genetics and the consequences of Mendelian inheritance. Concepts used to estimate quantitative genetic differences and basis for partitioning the phenotypic variance. "," 1997 Winter",NA
"329","ANG","206","Advanced Domestic Animal Breeding ","3"," Lecture—3 hours","Prerequisite(s): ANG 107; ANS 205; ANG 204 recommended. Procedures for the genetic evaluation of individuals to include selection indices and mixed model evaluation for single and multiple traits. Methods of estimating genetic trends. "," 1997 Winter Quarter.",NA
"330","ANG","208","Estimation of Genetic Parameters ","3"," Lecture—3 hours","Prerequisite(s): ANG 107; ANS 205; ANG 204 and ANG 108 recommended. General methods for the estimation of components of variance and covariance and their application to the estimation of heritability, repeatability and genetic correlations are considered. Specific emphasis is given to procedures applicable to livestock populations under selection. "," 1997",NA
"331","ANG","211","Genetic Engineering of Animals ","2"," Lecture—1 hour; Lecture/Discussion—1 hour","Review of techniques for the genetic engineering of animals and their limitations and applications. Student-led discussions of recent papers in the field and possible future applications of genetically engineered animals in basic research and applied agricultural and medical research. (S/U grading only.) "," 1997 Winter Quarter.",NA
"332","ANG","212","Sequence Analysis in Molecular Genetics ","2"," Lecture/Lab—2 hours","Prerequisite(s): BIS 101; Or the equivalent; graduate standing or consent of instructor. Use of computer algorithms and on-line databases to analyze nucleic acid and protein sequences in molecular genetics research. "," 2005 Winter Quarter.",NA
"333","ANG","298","Group Study ","1-5"," Variable","Prerequisite(s): Consent of Instructor. Lectures and discussions of advanced topics in animal genetics. (S/U grading only.) "," 1997 Winter Quarter.",NA
"334","ANG","299","Research in Animal Genetics ","1-12"," Variable","(S/U grading only.) "," 1997 Winter Quarter.",NA
"335","ANS","001","Domestic Animals and People ","4"," Laboratory—3 hours; Lecture—3 hours","Animal domestication and factors affecting their characteristics and distribution. Animal use for food, fiber, work, drugs, research and recreation; present and future roles in society. Laboratory exercises with beef and dairy cattle, poultry, sheep, swine, laboratory animals, fish, horses, meat and dairy products. ",""," SE, WE. "
"336","ANS","002","Introductory Animal Science ","4"," Laboratory—3 hours; Lecture—3 hours","Prerequisite(s): ANS 001 and BIS 002A recommended. Open to students in Animal Science, Animal Science and Management, Agricultural and Environmental Education, and Sustainable Agriculture and Food Systems majors. Growth, reproduction, lactation, inheritance, nutrition, and disease control in domesticated animals and species used in aquaculture; the application of sciences to animal production. "," 2016 Fall Quarter."," SE, SL, VL, WE. "
"337","ANS","012","Animal Science: Basic Principles and Application ","3"," Lecture—3 hours","Overview of domestic and global animal industries. Exploration of production systems, animal biology, genetics, anatomy, physiology, reproduction, health, behavior, research, biotechnology and welfare. "," 2014 Fall Quarter."," SE. "
"338","ANS","015","Introductory Horse Husbandry ","3"," Lecture—3 hours","Introduction to care and use of light horses emphasizing the basic principles for selection of horses, responsibilities of ownership, recreational use and raising of foals. "," 2016 Fall Quarter."," QL, SE, VL. "
"339","ANS","017","Canine Behavior: Learning and Cognition ","3"," Lecture—3 hours","Domestic dog behavior from basic principles of learning to complex cognitive behaviors; interaction between learning and cognition including how these processes contribute to interactions with humans; basic genetic correlates of learning and cognition. "," 2012",NA
"340","ANS","018","Introductory Aquaculture ","4"," Discussion—1 hour; Lecture—3 hours","Historical and contemporary aquacultural practices. Interaction between the aqueous culture environment and the biology of aquatic animals. Impact of economics and governmental policies on the development of aquaculture. Interaction of aquacultural practices with larger societal goals. "," 1997 Winter Quarter."," OL, QL, SE, SL, VL, WE. "
"341","ANS","021","Livestock and Dairy Cattle Judging ","2"," Laboratory—6 hours","Prerequisite(s): ANS 001 or ANS 002 recommended. Evaluation of type as presently applied to light horses, meat animals and dairy cattle. Relationship between form and function, form and carcass quality, and form and milk production. ",""," OL, SE. "
"342","ANS","022A","Animal Evaluation ","2"," Fieldwork—30 hours; Laboratory—3 hours","Prerequisite(s): ANS 021; Or equivalent. Attendance at 3 one-day weekend field trips required. Domestic livestock species with emphasis on visual appraisal, carcass evaluation, and application of performance information. Emphasis on accurate written and oral descriptions of evaluations. Prerequisite to intercollegiate judging competition. (P/NP grading only.) "," 1999 Fall Quarter."," OL, SE. "
"343","ANS","022B","Animal Evaluation ","2"," Fieldwork—30 hours; Laboratory—3 hours","Prerequisite(s): ANS 022A; Or equivalent. Attendance at 3 one-day weekend field trips required. Continuation of course 22A with emphasis on specific species: swine, beef cattle and sheep. Application of animal science principles to selection and management problem-solving scenarios. Prerequisite to intercollegiate judging competition. (P/NP grading only.) "," 2000 Winter Quarter."," OL, SE. "
"344","ANS","041","Domestic Animal Production ","2"," Lecture—2 hours","Principles of farm animal management, including dairy and beef cattle, sheep, and swine. Industry trends, care and management, nutrition, and reproduction. "," 1997 Winter Quarter."," SE. "
"345","ANS","041L","Domestic Animal Production Laboratory ","2"," Discussion—1 hour; Laboratory—3 hours","Prerequisite(s): ANS 041 (can be concurrent) Animal production principles and practices, including five field trips to dairy cattle, beef cattle, sheep, and swine operations and campus labs. (P/NP grading only.) ",""," QL, SE, SL, VL, WE. "
"346","ANS","042","Introductory Companion Animal Biology ","4"," Discussion—1 hour; Lecture—3 hours","Companion animal domestication. Historical, contemporary perspectives. Legislation concerning companion animals. Selected topics in anatomy, physiology, genetics, nutrition, behavior and management. Scientific methods in studying the human-animal bond. Discussions: application of biological concepts to problems related to companion animals. "," 1997 Winter Quarter."," QL, SE, SL, WE. "
"347","ANS","049A","Animal Management Practices: Aquaculture ","2"," Discussion—1 hour; Laboratory—3 hours","Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken. (P/NP grading only.) "," 1998 Fall Quarter.",NA
"348","ANS","049B","Animal Management Practices: Beef ","2"," Discussion—1 hour; Laboratory—3 hours","Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken. (P/NP grading only.) "," 1998 Fall Quarter.",NA
"349","ANS","049C","Animal Management Practices: Dairy ","2"," Discussion—1 hour; Laboratory—3 hours","Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken. (P/NP grading only.) "," 1998 Fall Quarter.",NA
"350","ANS","049D","Animal Management Practices: Goats ","2"," Discussion—1 hour; Laboratory—3 hours","Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken. (P/NP grading only.) "," 1998 Fall Quarter.",NA
"351","ANS","049E","Animal Management Practices: Horses ","2"," Discussion—1 hour; Laboratory—3 hours","Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken. (P/NP grading only.) "," 1998 Fall Quarter.",NA
"352","ANS","049F","Animal Management Practices: Laboratory Animals ","2"," Discussion—1 hour; Laboratory—3 hours","Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken. (P/NP grading only.) "," 1998 Fall Quarter.",NA
"353","ANS","049G","Animal Management Practices: Meats ","2"," Discussion—1 hour; Laboratory—3 hours","Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken. (P/NP grading only.) "," 1998 Fall Quarter.",NA
"354","ANS","049H","Animal Management Practices: Poultry ","2"," Discussion—1 hour; Laboratory—3 hours","Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken. (P/NP grading only.) "," 1998 Fall Quarter.",NA
"355","ANS","049I","Animal Management Practices: Sheep ","2"," Discussion—1 hour; Laboratory—3 hours","Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken. (P/NP grading only.) "," 1998 Fall Quarter.",NA
"356","ANS","049J","Animal Management Practices: Swine ","2"," Discussion—1 hour; Laboratory—3 hours","Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken. (P/NP grading only.) "," 1998 Fall Quarter.",NA
"357","ANS","049K","Animal Management Practices: Captive and Companion Avian ","2"," Discussion—1 hour; Laboratory—3 hours","Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken. (P/NP grading only.) "," 2013 Winter Quarter.",NA
"358","ANS","090C","Research Group Conference ","1"," Discussion—1 hour","Prerequisite(s): Consent of Instructor. Restricted to lower division standing. Weekly conference on research problems, progress and techniques in the animal sciences. May be repeated for credit. (P/NP grading only.) "," 2016 Fall Quarter.",NA
"359","ANS","092","Internship in Animal Science ","1-12"," Internship—3-18 hours","Prerequisite(s): Consent of Instructor. Restricted to lower division standing. Internship off and on campus in dairy, livestock, and aquaculture production, research and management; or in a business, industry, or agency associated with these or other animal enterprises. All requirements of Internship Approval form must be met. (P/NP grading only.) "," 2016 Fall Quarter.",NA
"360","ANS","098","Directed Group Study ","1-5"," Variable—3-15 hours","Prerequisite(s): Consent of Instructor. Restricted to lower division standing. (P/NP grading only.) "," 2016 Fall Quarter.",NA
"361","ANS","099","Special Study for Undergraduates ","1-5"," Variable","Prerequisite(s): Consent of Instructor. Restricted to lower division standing. (P/NP grading only.) "," 2016 Fall Quarter.",NA
"362","ANS","100","Animal Physiology ","5"," Discussion—1 hour; Lecture—4 hours","Prerequisite(s): BIS 002A; CHE 002B Pass One restricted to students in the Animal Science and Animal Science and Management majors. Basic principles of animal physiology in domesticated and captive animals with a comparative approach. Molecular, biochemical, chemical and physical aspects and their influences on function of physiological systems in animals. Not open for credit to students who have taken NPB 101. "," 2016 Spring Quarter."," SE. "
"363","ANS","103","Animal Welfare ","4"," Discussion—2 hours; Lecture—2 hours","Prerequisite(s): ANS 104 or NPB 102 or WFC 141; or Consent of Instructor. Restricted to upper division standing. Application of principles of animal behavior and physiology to assessment and improvement of the welfare of wild, captive, and domestic animals. Topics include animal pain, stress, cognition, motivation, emotions, and preferences, as well as environmental enrichment methods. "," 2016 Fall"," SE, SL. "
"364","ANS","104","Principles and Applications of Domestic Animal Behavior ","4"," Discussion—1 hour; Lecture—3 hours","Prerequisite(s): ANS 002 or BIS 002B Basic principles of animal behavior as applied to domesticated species. Emphasis placed on application of the principles of animal behavior. "," 2014 Fall Quarter."," SE. "
"365","ANS","106","Domestic Animal Behavior Laboratory ","2"," Laboratory—6 hours","Prerequisite(s): ANS 104 or NPB 102; or Consent of Instructor. Research experience with the behavior of large domestic animals. Experimental design, methods of data collection and analysis, and reporting of experimental results. "," 2016 Fall Quarter."," QL, SE, SL, VL, WE. "
"366","ANS","112","Sustainable Animal Agriculture ","3"," Lecture/Discussion—3 hours","Prerequisite(s): BIS 002B or ANS 001; STA 100 or PLS 120 recommended. Current applications of sustainable animal agriculture including the challenges of animal production, animal needs, animal well-being, and protection of the environment and resources for future food supply systems. Various scenarios for meeting sustainability objectives are evaluated using computing modeling. "," 2016 Fall Quarter."," OL, QL, SE, SS. "
"367","ANS","115","Advanced Horse Production ","4"," Laboratory—3 hours; Lecture—3 hours","Prerequisite(s): ANS 015; BIS 101; NUT 115; (ANS 100 or NPB 101); or Consent of Instructor. Feeding, breeding, and management of horses; application of the basic principles of animal science to problems of production of all types of horses. Designed for students who wish to become professionally involved in the horse industry. "," 2016 Fall Quarter."," QL, SE, SL, WE. "
"368","ANS","118","Fish Production ","4"," Discussion—1 hour; Lecture—3 hours","Prerequisite(s): WFC 120 Current practices in fish production; relationship between the biological aspects of a species and the production systems, husbandry, management, and marketing practices utilized. Emphasis on species currently reared in California. "," 2016 Fall Quarter."," SE. "
"369","ANS","119","Invertebrate Aquaculture ","4"," Discussion—1 hour; Lecture—3 hours","Prerequisite(s): BIS 002B Management, breeding and feeding of aquatic invertebrates; application of basic principles of physiology, reproduction, and nutrition to production of mollusks and crustaceans for human food; emphasis on interaction of species biology and managerial techniques on production efficiencies. ",""," SE. "
"370","ANS","120","Principles of Meat Science ","3"," Lecture—3 hours","Prerequisite(s): ANS 002 Restricted to upper division standing. Anatomical, physiological, developmental, and biochemical aspects of muscle underlying the conversion of muscle to meat. Includes meat processing, preservation, microbiology, and public health issues associated with meat products. "," 2016 Fall Quarter."," SE. "
"371","ANS","120L","Meat Science Laboratory ","2"," Discussion—1 hour; Laboratory—3 hours","Prerequisite(s): ANS 002; ANS 120 (can be concurrent) Restricted to upper division standing. Laboratory exercises and student participation in transformation of live animal to carcass and meat, structural and biochemical changes related to meat quality, chemical and sensory evaluation of meat, and field trips to packing plant and processing plant. "," 2016 Fall Quarter."," SE. "
"372","ANS","123","Animal Growth and Development ","4"," Lecture—3 hours; Lecture/Discussion—1 hour","Prerequisite(s): (ABI 103 or BIS 103); (ANS 100 or NPB 101) Growth and development of animals from conception to maturity, viewed from practical and biological perspectives; includes genetic, metabolic, nutritional control of cell and organism function. "," 2016 Fall Quarter."," OL, QL, SE, VL, WE. "
"373","ANS","124","Lactation ","4"," Laboratory—3 hours; Lecture—3 hours","Prerequisite(s): (NPB 101 or ANS 100); (ABI 103 (can be concurrent) or BIS 103 (can be concurrent)) Consideration of the biochemical, genetic, physiological, nutritional, and structural factors relating to mammary gland development, the initiation of lactation, the composition of milk and lactational performance. "," 2016 Fall Quarter."," SE, SL. "
"374","ANS","125","Equine Exercise Physiology ","3"," Lecture—3 hours","Prerequisite(s): (NPB 101 or ANS 100); ANS 015 Basic and applied physiology of the exercising horse. Includes physiological systems, gait analysis, lameness, pharmacology, sports medicine; sport horse performance evaluation and conditioning. "," 2016 Fall"," SE. "
"375","ANS","126","Equine Nutrition ","3"," Lecture—3 hours","Prerequisite(s): ANS 015; NUT 115 Equine digestion, digestive physiology, diet development and evaluation, and the relationship of the topics to recommended feeding practices and nutritional portfolios. "," 2014 Fall Quarter."," SE. "
"376","ANS","127","Advanced Equine Reproduction ","3"," Lecture—3 hours","Prerequisite(s): ANS 115; (ANS 100 or NPB 101) Reproductive physiology, anatomy and endocrinology of the mare and stallion. Emphasis on structure/function relationships as they are applied to improving equine reproductive management and efficiency. "," 2016 Fall Quarter."," SE, WE. "
"377","ANS","128","Agricultural Applications of Linear Programming ","4"," Discussion—1 hour; Laboratory—2 hours; Lecture—2 hours","Prerequisite(s): PLS 021 or ECS 015; or Consent of Instructor. Restricted to upper division standing. Applications of linear programming in agriculture, emphasizing resource allocation problems and decision making. Problems include crop production, ration formulation, and farm management. Hands-on experience in developing linear programs and interpreting the results. "," 2016 Fall Quarter."," QL, SE, SL. "
"378","ANS","129","Environmental Stewardship in Animal Production Systems ","3"," Lecture—3 hours","Prerequisite(s): (BIS 010 or (BIS 002A, BIS 002B)), CHE 002A, CHE 002B, (CHE 008A, CHE 008B) or (CHE 118A, CHE 118B); and Consent of Instructor. Management principles of environmental stewardship for grazing lands, animal feeding, operations and aquaculture operations; existing regulations, sample analyses, interpretation and utilization of data, evaluation of alternative practices, and policy development. "," 2017 Winter Quarter."," SE, SL. "
"379","ANS","131","Reproduction and Early Development in Aquatic Animals ","4"," Laboratory—3 hours; Lecture—3 hours","Prerequisite(s): MCB 150; WFC 120; or Consent of Instructor. Physiological and developmental functions related to reproduction, breeding efficiency and fertility of animals commonly used in aquaculture. "," 2017 Winter"," SE, WE. "
"380","ANS","135","Production Animal Laboratory ","3"," Fieldwork; Laboratory—3 hours; Lecture/Discussion—1 hour","Prerequisite(s): ABI 102; ABI 103; (NPB 101 or ANS 100) Pass One restricted to Animal Science and Animal Science and Management students. Biochemical methods for developing and conducting research with production animals, and interpreting and presenting data. Laboratory focus course which uses sheep as model. There may be one or two mandatory all day Saturday field trips. "," 2017 Winter"," SE. "
"381","ANS","136","Techniques and Practices of Fish Culture ","3"," Laboratory—6 hours; Lecture—1 hour","Prerequisite(s): ANS 002; BIS 002A; BIS 002B; BIS 002C; ((CHE 008A, CHE 008B) or (CHE 118A, CHE 118B)) Restricted to upper division standing. Daily care and maintenance of fish in residential aquariums, research and commercial facilities. Biological and environmental factors important to sound management of fish. Laboratories focus on fish culture including growth trials and biochemical assays. Not open for credit to students who have previously completed ANS 136A or ANS 137. "," 2017 Winter"," QL, SE, SL, VL, WE. "
"382","ANS","137","Techniques and Practices of Avian Culture ","3"," Laboratory—6 hours; Lecture—1 hour","Prerequisite(s): ANS 002; BIS 002A; BIS 002B; BIS 002C; ((CHE 008A, CHE 008B) or (CHE 118A, CHE 118B)) Restricted to upper division standing. Daily care and maintenance of birds for research, commercial production and companion or hobby uses. Biological and environmental factors important to sound management of birds. Laboratories focus on bird husbandry, management and care and include growth trials and biochemical assays. Not open for credit to students who have previously completed ANS 136B or ANS 137. "," 2017 Winter Quarter."," QL, SE, SL, VL, WE. "
"383","ANS","139","Experimental Animal Physiology ","3"," Fieldwork—3 hours; Laboratory—3 hours; Lecture—1 hour","Prerequisite(s): ABI 102; BIS 101; or Consent of Instructor. Restricted to seniors in the Animal Science and Animal Science and Management majors. Combination of theory and hands-on experiences in animal physiology using various experimental techniques. Practical laboratory skill development from cellular level to whole animal, in areas such as genetics, endocrinology, histology and physiological function. "," 2016 Spring Quarter."," SE, WE. "
"384","ANS","140","Management of Laboratory Animals ","4"," Laboratory—3 hours; Lecture—3 hours","Prerequisite(s): NPB 101 or ANS 100 Laboratory animal management procedures in view of animal physiology, health and welfare, government regulations, and experimental needs. Clinical techniques using rodents and rabbits as models. "," 2017 Winter Quarter."," SE. "
"385","ANS","141","Equine Enterprise Management ","4"," Lecture/Discussion—4 hours","Prerequisite(s): ANS 115; ECN 001A and ECN 001B recommended. Examination of the concepts and principles involved in the operation of an equine enterprise. Essential aspects of equine enterprise management, including equine law, marketing, cash flow analysis, and impact of state and federal regulations. "," 1997 Winter"," SS. "
"386","ANS","142","Companion Animal Care and Management ","4"," Discussion—1 hour; Lecture—3 hours","Prerequisite(s): ANS 042; BIS 101; (NPB 101 or ANS 100); ABI 102 or BIS 102 and ABI 103 or BIS 103 recommended. Management and production of companion animals. Integration of the disciplinary principles of behavior, genetics, nutrition, and physiology as related to the care of companion animals. "," 2017 Winter Quarter."," OL, QL, SE, SL, VL, WE. "
"387","ANS","143","Pig and Poultry Care and Management ","4"," Laboratory—3 hours; Lecture—3 hours","Prerequisite(s): NUT 115; (NPB 101 or ANS 100); ANS 041; or Consent of Instructor. Care and management of swine, broilers and turkeys as related to environmental physiology, nutrition and metabolism, disease management and reproduction. Saturday field trips. "," 2017 Winter Quarter."," SE, SL. "
"388","ANS","144","Beef Cattle and Sheep Production ","4"," Fieldwork—2 hours; Laboratory—3 hours; Lecture—3 hours","Prerequisite(s): ANS 041; NUT 115; or Consent of Instructor. Animal Genetics 107 recommended. Genetics, physiology, nutrition, economics and business in beef cattle and sheep production. Resources used, species differences, range and feedlot operations. Emphasis on integration and information needed in methods for management of livestock enterprises. One or two Saturday field trips. "," 2017 Winter Quarter."," OL, QL, SE, SL, VL, WE. "
"389","ANS","145","Meat Processing and Marketing ","4"," Laboratory—3 hours; Lecture—3 hours","Prerequisite(s): ANS 002; Consent of Instructor. Distribution, processing and marketing of meat and meat products. Meat and meat animal grading and pricing. Government regulations and social/consumer concerns. Future trends and impact on production management practices. Includes poultry. "," 2017 Winter Quarter."," SE. "
"390","ANS","146","Dairy Cattle Production ","5"," Discussion—1 hour; Fieldwork—1 hour; Laboratory—3 hours; Lecture—3 hours","Prerequisite(s): NUT 115; or Consent of Instructor. ANG 107 recommended. Scientific principles from genetics, nutrition, physiology, and related fields applied to conversion of animal feed to human food through dairy animals. Management and economic decisions are related to animal biology considering the environment and animal well-being. Mandatory Saturday field-trip. "," 2017 Winter Quarter."," OL, QL, SE, SL, VL, WE. "
"391","ANS","147","Dairy Processing and Marketing ","3"," Laboratory—3 hours; Lecture—2 hours","Prerequisite(s): ANS 002; or Consent of Instructor. Restricted to upper division standing. Examination of distribution systems, processing practices, product quality, impact of government policy (domestic and foreign), marketing alternatives, and product development. "," 2017 Winter Quarter."," SE. "
"392","ANS","148","Enterprise Analysis in Animal Industries ","4"," Lecture/Discussion—4 hours","Prerequisite(s): Consent of Instructor. Restricted to students with upper division standing. Examination and application of decision making and problem solving in the production enterprise. The areas of production analysis, problem solving, risk analysis and costbenefit analysis will be examined in terms of the total enterprise. "," 2016 Fall Quarter."," OL, QL, SS, WE. "
"393","ANS","149","Farrier Science ","3"," Lecture—3 hours","Prerequisite(s): ANS 115 In-depth examination of the structure-function relationship of the equine hoof and how it relates to conformation, injury and performance. "," 2015 Winter Quarter."," SE. "
"394","ANS","149L","Farrier Science Laboratory ","1"," Laboratory—3 hours","Prerequisite(s): ANS 149 (can be concurrent); or Consent of Instructor. Art and science of horseshoeing in equine related fields. Proper use of the tools, materials and techniques in the fabrication of shoes and safe preparation of the hoof for application of shoes. (P/NP grading only.) "," 1999 Spring Quarter.",NA
